Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Category,Outlet_Age
NCD06,13,Low Fat,0.099887103,Household,45,OUT017,2007,Medium,Tier 2,Supermarket Type1,838,Non-Consumable,18
FDV10,7,Regular,0.066693437,Snack Foods,42,OUT035,2004,Small,Tier 2,Supermarket Type1,1065,Food,21
DRJ59,11,Low Fat,0.019356132,Hard Drinks,39,OUT013,1987,High,Tier 3,Supermarket Type1,308,Drinks,38
FDE51,5,Regular,0.161466534,Dairy,45,OUT010,1998,Medium,Tier 3,Grocery Store,178,Food,27
FDC14,12,Regular,0.072221801,Canned,43,OUT019,1985,Small,Tier 1,Grocery Store,125,Food,40
FDV38,19,Low Fat,0.170348551,Dairy,55,OUT010,1998,Medium,Tier 3,Grocery Store,163,Food,27
NCS17,18,Low Fat,0.080829372,Health and Hygiene,96,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741,Non-Consumable,16
FDP33,18,Low Fat,0.06613202877895108,Snack Foods,256,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068,Food,16
FDO23,17,Low Fat,0.06613202877895108,Breads,93,OUT045,2002,Medium,Tier 2,Supermarket Type1,2174,Food,23
DRH01,17,Low Fat,0.097904029,Soft Drinks,174,OUT046,1997,Small,Tier 1,Supermarket Type1,2085,Drinks,28
NCX29,10,Low Fat,0.089291137,Health and Hygiene,146,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791,Non-Consumable,26
FDV20,12,Regular,0.059511812,Fruits and Vegetables,128,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797,Food,40
DRZ11,8,Regular,0.113123893,Soft Drinks,122,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609,Drinks,16
FDX10,12,Regular,0.123111453,Snack Foods,36,OUT027,1985,Medium,Tier 3,Supermarket Type3,388,Food,40
FDB34,12,Low Fat,0.026480954,Snack Foods,87,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180,Food,40
FDU02,13,Low Fat,0.102511504,Dairy,230,OUT046,1997,Small,Tier 1,Supermarket Type1,3435,Food,28
FDK43,9,Low Fat,0.02681843,Meat,126,OUT013,1987,High,Tier 3,Supermarket Type1,2150,Food,38
FDA46,13,Low Fat,0.117818348,Snack Foods,192,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527,Food,26
FDC02,21,Low Fat,0.069102831,Canned,259,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768,Food,16
FDL50,12,Regular,0.042277867,Canned,126,OUT013,1987,High,Tier 3,Supermarket Type1,373,Food,38
FDM39,6,Low Fat,0.089498926,Dairy,178,OUT010,1998,Medium,Tier 3,Grocery Store,358,Food,27
NCP05,19,Low Fat,0.06613202877895108,Health and Hygiene,153,OUT045,2002,Medium,Tier 2,Supermarket Type1,2428,Non-Consumable,23
FDV49,10,Low Fat,0.025879577,Canned,265,OUT045,2002,Medium,Tier 2,Supermarket Type1,5815,Food,23
FDL12,15,Regular,0.121632721,Baking Goods,60,OUT046,1997,Small,Tier 1,Supermarket Type1,2576,Food,28
FDS02,12,Regular,0.255394896,Dairy,196,OUT019,1985,Small,Tier 1,Grocery Store,780,Food,40
NCL17,7,Low Fat,0.067779712,Health and Hygiene,143,OUT046,1997,Small,Tier 1,Supermarket Type1,3134,Non-Consumable,28
FDM40,10,Low Fat,0.159803853,Frozen Foods,141,OUT013,1987,High,Tier 3,Supermarket Type1,850,Food,38
FDR13,9,Regular,0.028696932,Canned,117,OUT013,1987,High,Tier 3,Supermarket Type1,810,Food,38
FDA43,10,Low Fat,0.065041581,Fruits and Vegetables,196,OUT017,2007,Medium,Tier 2,Supermarket Type1,3121,Food,18
NCP18,12,Low Fat,0.028760013,Household,151,OUT017,2007,Medium,Tier 2,Supermarket Type1,4815,Non-Consumable,18
FDK21,7,Low Fat,0.010053105,Snack Foods,249,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258,Food,16
NCX54,9,Low Fat,0.048157338,Household,106,OUT045,2002,Medium,Tier 2,Supermarket Type1,2117,Non-Consumable,23
DRK35,8,Low Fat,0.071958197,Hard Drinks,38,OUT049,1999,Medium,Tier 1,Supermarket Type1,796,Drinks,26
FDY21,15,Low Fat,0.173481304,Snack Foods,194,OUT046,1997,Small,Tier 1,Supermarket Type1,4910,Food,28
FDI26,12,Low Fat,0.061082177,Canned,180,OUT019,1985,Small,Tier 1,Grocery Store,892,Food,40
FDM20,10,Low Fat,0.06613202877895108,Fruits and Vegetables,246,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185,Food,16
FDV27,7,Regular,0.040071131,Meat,87,OUT045,2002,Medium,Tier 2,Supermarket Type1,1062,Food,23
FDF09,12,Low Fat,0.012090074,Fruits and Vegetables,38,OUT027,1985,Medium,Tier 3,Supermarket Type3,484,Food,40
FDY40,12,Regular,0.15028599,Frozen Foods,51,OUT019,1985,Small,Tier 1,Grocery Store,147,Food,40
FDY45,12,Low Fat,0.026015519,Snack Foods,255,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543,Food,40
FDC46,17,Low Fat,0.195068226,Snack Foods,185,OUT010,1998,Medium,Tier 3,Grocery Store,184,Food,27
FDH19,19,Low Fat,0.033082215,Meat,172,OUT035,2004,Small,Tier 2,Supermarket Type1,4865,Food,21
FDZ03,13,Regular,0.078946455,Dairy,186,OUT045,2002,Medium,Tier 2,Supermarket Type1,1118,Food,23
DRH37,17,Low Fat,0.041700756,Soft Drinks,164,OUT045,2002,Medium,Tier 2,Supermarket Type1,2302,Drinks,23
NCI17,8,Low Fat,0.143422643,Health and Hygiene,95,OUT046,1997,Small,Tier 1,Supermarket Type1,2027,Non-Consumable,28
FDJ58,15,Regular,0.105296072,Snack Foods,170,OUT046,1997,Small,Tier 1,Supermarket Type1,3435,Food,28
FDL12,15,Regular,0.121531501,Baking Goods,59,OUT013,1987,High,Tier 3,Supermarket Type1,599,Food,38
FDH35,18,Low Fat,0.06613202877895108,Starchy Foods,164,OUT045,2002,Medium,Tier 2,Supermarket Type1,4604,Food,23
FDG02,7,Low Fat,0.011324862,Canned,189,OUT017,2007,Medium,Tier 2,Supermarket Type1,2285,Food,18
NCZ18,7,Low Fat,0.186357148,Household,254,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580,Non-Consumable,26
FDC29,8,Regular,0.024205661,Frozen Foods,114,OUT046,1997,Small,Tier 1,Supermarket Type1,2290,Food,28
FDQ10,12,Low Fat,0.033230816,Snack Foods,172,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207,Food,26
FDN48,12,Low Fat,0.113720344,Baking Goods,89,OUT019,1985,Small,Tier 1,Grocery Store,643,Food,40
FDL04,19,Low Fat,0.112556507,Frozen Foods,104,OUT017,2007,Medium,Tier 2,Supermarket Type1,1587,Food,18
FDV25,5,Low Fat,0.06613202877895108,Canned,222,OUT045,2002,Medium,Tier 2,Supermarket Type1,5305,Food,23
FDD58,7,Low Fat,0.059352241,Snack Foods,101,OUT046,1997,Small,Tier 1,Supermarket Type1,1697,Food,28
FDN04,11,Regular,0.014087057,Frozen Foods,180,OUT046,1997,Small,Tier 1,Supermarket Type1,1427,Food,28
FDV45,16,Low Fat,0.045230944,Snack Foods,187,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693,Food,16
NCL18,12,Low Fat,0.293417759,Household,194,OUT019,1985,Small,Tier 1,Grocery Store,583,Non-Consumable,40
FDR12,12,Regular,0.031382044,Baking Goods,171,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091,Food,40
FDG20,15,Regular,0.12639886,Fruits and Vegetables,177,OUT017,2007,Medium,Tier 2,Supermarket Type1,2479,Food,18
FDZ55,6,Low Fat,0.025403898,Fruits and Vegetables,160,OUT035,2004,Small,Tier 2,Supermarket Type1,2716,Food,21
FDQ49,12,Regular,0.039057677,Breakfast,155,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285,Food,40
FDN33,6,Regular,0.123115764,Snack Foods,95,OUT046,1997,Small,Tier 1,Supermarket Type1,661,Food,28
FDN27,20,Low Fat,0.039624006,Meat,117,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523,Food,26
FDW20,20,Low Fat,0.040421193,Fruits and Vegetables,122,OUT010,1998,Medium,Tier 3,Grocery Store,369,Food,27
DRG27,8,Low Fat,0.105274111,Dairy,39,OUT049,1999,Medium,Tier 1,Supermarket Type1,690,Drinks,26
DRI25,19,Low Fat,0.033970195,Soft Drinks,55,OUT045,2002,Medium,Tier 2,Supermarket Type1,1381,Drinks,23
FDA44,19,Low Fat,0.053212652,Fruits and Vegetables,57,OUT035,2004,Small,Tier 2,Supermarket Type1,622,Food,21
NCR17,9,Low Fat,0.024378706,Health and Hygiene,114,OUT035,2004,Small,Tier 2,Supermarket Type1,1274,Non-Consumable,21
FDU04,12,Low Fat,0.009714595,Frozen Foods,120,OUT019,1985,Small,Tier 1,Grocery Store,487,Food,40
FDF41,12,Low Fat,0.131383762,Frozen Foods,246,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231,Food,26
FDB56,8,Regular,0.07461309,Fruits and Vegetables,187,OUT035,2004,Small,Tier 2,Supermarket Type1,3755,Food,21
NCP18,12,Low Fat,0.028459761,Household,149,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363,Non-Consumable,40
FDB56,8,Regular,0.074627201,Fruits and Vegetables,187,OUT046,1997,Small,Tier 1,Supermarket Type1,1314,Food,28
FDT28,13,Low Fat,0.063695084,Frozen Foods,151,OUT045,2002,Medium,Tier 2,Supermarket Type1,1805,Food,23
FDD10,12,Regular,0.045797829,Snack Foods,178,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854,Food,40
FDW57,8,Regular,0.115857223,Snack Foods,179,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896,Food,26
DRB48,16,Regular,0.024832806,Soft Drinks,38,OUT013,1987,High,Tier 3,Supermarket Type1,667,Drinks,38
FDP09,19,Low Fat,0.034027909,Snack Foods,212,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185,Food,16
FDH14,17,Regular,0.0467696,Canned,141,OUT013,1987,High,Tier 3,Supermarket Type1,2247,Food,38
FDA47,10,Regular,0.116576702,Baking Goods,163,OUT013,1987,High,Tier 3,Supermarket Type1,1794,Food,38
FDG12,6,Regular,0.06613202877895108,Baking Goods,121,OUT045,2002,Medium,Tier 2,Supermarket Type1,2530,Food,23
DRE60,12,Low Fat,0.278974075,Soft Drinks,225,OUT019,1985,Small,Tier 1,Grocery Store,679,Drinks,40
DRK49,14,Low Fat,0.035913805,Soft Drinks,41,OUT013,1987,High,Tier 3,Supermarket Type1,812,Drinks,38
FDD03,13,Low Fat,0.079806266,Dairy,232,OUT046,1997,Small,Tier 1,Supermarket Type1,699,Food,28
FDS52,8,Low Fat,0.005505481,Frozen Foods,102,OUT017,2007,Medium,Tier 2,Supermarket Type1,2732,Food,18
FDW39,12,Regular,0.064625342,Meat,176,OUT019,1985,Small,Tier 1,Grocery Store,176,Food,40
FDX34,12,Low Fat,0.071636937,Snack Foods,121,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097,Food,40
FDV11,9,Regular,0.06613202877895108,Breads,173,OUT045,2002,Medium,Tier 2,Supermarket Type1,3151,Food,23
FDD17,7,Low Fat,0.032677678,Frozen Foods,239,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942,Food,26
FDZ16,16,Regular,0.160760054,Frozen Foods,192,OUT017,2007,Medium,Tier 2,Supermarket Type1,4843,Food,18
FDZ46,7,Low Fat,0.06911065,Snack Foods,109,OUT035,2004,Small,Tier 2,Supermarket Type1,2542,Food,21
DRA12,11,Low Fat,0.041177505,Soft Drinks,140,OUT017,2007,Medium,Tier 2,Supermarket Type1,2552,Drinks,18
FDY58,11,Low Fat,0.040081193,Snack Foods,227,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141,Food,16
NCF19,13,Low Fat,0.035307322,Household,47,OUT017,2007,Medium,Tier 2,Supermarket Type1,680,Non-Consumable,18
DRJ13,12,Low Fat,0.063017847,Soft Drinks,159,OUT045,2002,Medium,Tier 2,Supermarket Type1,2085,Drinks,23
FDB14,20,Regular,0.171938781,Canned,92,OUT010,1998,Medium,Tier 3,Grocery Store,186,Food,27
FDJ38,8,Regular,0.040197932,Canned,190,OUT035,2004,Small,Tier 2,Supermarket Type1,3036,Food,21
FDW11,12,Low Fat,0.049058014,Breads,62,OUT017,2007,Medium,Tier 2,Supermarket Type1,866,Food,18
FDL40,17,Low Fat,0.01161096,Frozen Foods,95,OUT035,2004,Small,Tier 2,Supermarket Type1,868,Food,21
DRI49,14,Low Fat,0.183507295,Soft Drinks,82,OUT046,1997,Small,Tier 1,Supermarket Type1,1137,Drinks,28
FDV38,19,Low Fat,0.102349519,Dairy,52,OUT017,2007,Medium,Tier 2,Supermarket Type1,928,Food,18
DRG23,8,Low Fat,0.086708987,Hard Drinks,151,OUT013,1987,High,Tier 3,Supermarket Type1,762,Drinks,38
NCP30,20,Low Fat,0.032835147,Household,40,OUT045,2002,Medium,Tier 2,Supermarket Type1,707,Non-Consumable,23
FDY25,12,Low Fat,0.033809913,Canned,180,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968,Food,40
NCH54,13,Low Fat,0.07266912,Household,160,OUT046,1997,Small,Tier 1,Supermarket Type1,1438,Non-Consumable,28
NCR53,12,Low Fat,0.144338493,Health and Hygiene,224,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976,Non-Consumable,40
FDS52,8,Low Fat,0.009163216,Frozen Foods,101,OUT010,1998,Medium,Tier 3,Grocery Store,101,Food,27
FDG02,7,Low Fat,0.011307038,Canned,188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952,Food,16
NCO26,7,Low Fat,0.076855628,Household,116,OUT046,1997,Small,Tier 1,Supermarket Type1,1969,Non-Consumable,28
FDH35,12,Low Fat,0.059956876,Starchy Foods,165,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262,Food,40
FDB51,6,Low Fat,0.038532062,Dairy,60,OUT045,2002,Medium,Tier 2,Supermarket Type1,1314,Food,23
FDX44,9,Low Fat,0.043209581,Fruits and Vegetables,90,OUT017,2007,Medium,Tier 2,Supermarket Type1,535,Food,18
NCN07,18,Low Fat,0.056816465,Others,132,OUT010,1998,Medium,Tier 3,Grocery Store,263,Non-Consumable,27
NCC31,8,Low Fat,0.019866705,Household,154,OUT035,2004,Small,Tier 2,Supermarket Type1,1402,Non-Consumable,21
NCX54,9,Low Fat,0.048331717,Household,105,OUT017,2007,Medium,Tier 2,Supermarket Type1,1693,Non-Consumable,18
NCO55,12,Low Fat,0.091221855,Others,105,OUT045,2002,Medium,Tier 2,Supermarket Type1,2143,Non-Consumable,23
NCC30,16,Low Fat,0.027622076,Household,177,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676,Non-Consumable,26
FDI16,14,Regular,0.06613202877895108,Frozen Foods,53,OUT035,2004,Small,Tier 2,Supermarket Type1,905,Food,21
FDP16,18,Low Fat,0.039355947,Frozen Foods,246,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370,Food,26
FDB11,16,Low Fat,0.060836524,Starchy Foods,226,OUT035,2004,Small,Tier 2,Supermarket Type1,6301,Food,21
NCB06,17,Low Fat,0.082316506,Health and Hygiene,160,OUT035,2004,Small,Tier 2,Supermarket Type1,1597,Non-Consumable,21
FDA45,21,Low Fat,0.155350299,Snack Foods,178,OUT035,2004,Small,Tier 2,Supermarket Type1,529,Food,21
NCO26,7,Low Fat,0.076841095,Household,117,OUT035,2004,Small,Tier 2,Supermarket Type1,1969,Non-Consumable,21
DRJ25,14,Low Fat,0.151419185,Soft Drinks,50,OUT017,2007,Medium,Tier 2,Supermarket Type1,1034,Drinks,18
FDR28,13,Regular,0.026001976,Frozen Foods,161,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794,Food,16
FDI04,13,Regular,0.073209447,Frozen Foods,197,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768,Food,16
DRK12,12,Low Fat,0.041683481,Soft Drinks,31,OUT027,1985,Medium,Tier 3,Supermarket Type3,898,Drinks,40
FDX20,7,Low Fat,0.042560252,Fruits and Vegetables,226,OUT046,1997,Small,Tier 1,Supermarket Type1,3169,Food,28
NCI18,18,Low Fat,0.014081156,Household,223,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589,Non-Consumable,16
FDB36,5,Regular,0.06613202877895108,Baking Goods,132,OUT018,2009,Medium,Tier 3,Supermarket Type2,262,Food,16
FDN13,18,Low Fat,0.152918384,Breakfast,99,OUT017,2007,Medium,Tier 2,Supermarket Type1,1910,Food,18
DRD24,13,Low Fat,0.030969274,Soft Drinks,140,OUT017,2007,Medium,Tier 2,Supermarket Type1,1701,Drinks,18
FDQ28,14,Regular,0.060376776,Frozen Foods,154,OUT013,1987,High,Tier 3,Supermarket Type1,2471,Food,38
FDM22,14,Regular,0.04192285,Snack Foods,54,OUT013,1987,High,Tier 3,Supermarket Type1,1331,Food,38
FDR07,12,Low Fat,0.077367431,Fruits and Vegetables,97,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808,Food,40
FDV25,5,Low Fat,0.045838211,Canned,222,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315,Food,16
DRF49,7,Low Fat,0.071077939,Soft Drinks,114,OUT046,1997,Small,Tier 1,Supermarket Type1,2618,Drinks,28
FDW51,6,Regular,0.094659871,Meat,214,OUT046,1997,Small,Tier 1,Supermarket Type1,2769,Food,28
DRL01,19,Regular,0.077608838,Soft Drinks,233,OUT017,2007,Medium,Tier 2,Supermarket Type1,5375,Drinks,18
FDP25,15,Low Fat,0.021327477,Canned,216,OUT017,2007,Medium,Tier 2,Supermarket Type1,2838,Food,18
FDL50,12,Regular,0.042485444,Canned,125,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743,Food,16
NCB30,12,Low Fat,0.025578526,Household,198,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555,Non-Consumable,40
FDW11,12,Low Fat,0.0489808,Breads,61,OUT018,2009,Medium,Tier 3,Supermarket Type2,619,Food,16
NCM43,14,Low Fat,0.019471688,Others,164,OUT035,2004,Small,Tier 2,Supermarket Type1,2120,Non-Consumable,21
FDK44,16,Low Fat,0.122918852,Fruits and Vegetables,173,OUT017,2007,Medium,Tier 2,Supermarket Type1,3823,Food,18
FDM15,11,Regular,0.057373797,Meat,151,OUT013,1987,High,Tier 3,Supermarket Type1,1360,Food,38
FDS31,13,Regular,0.044155597,Fruits and Vegetables,178,OUT013,1987,High,Tier 3,Supermarket Type1,3969,Food,38
FDI32,17,Low Fat,0.291865402,Fruits and Vegetables,115,OUT010,1998,Medium,Tier 3,Grocery Store,345,Food,27
FDR47,17,Low Fat,0.06613202877895108,Breads,196,OUT010,1998,Medium,Tier 3,Grocery Store,585,Food,27
FDB35,12,Regular,0.064750025,Starchy Foods,92,OUT045,2002,Medium,Tier 2,Supermarket Type1,1010,Food,23
NCU05,11,Low Fat,0.098312421,Health and Hygiene,81,OUT010,1998,Medium,Tier 3,Grocery Store,161,Non-Consumable,27
DRY23,12,Regular,0.191013663,Soft Drinks,42,OUT019,1985,Small,Tier 1,Grocery Store,42,Drinks,40
FDO24,11,Low Fat,0.176573035,Baking Goods,157,OUT045,2002,Medium,Tier 2,Supermarket Type1,3010,Food,23
FDQ28,12,Regular,0.060134441,Frozen Foods,153,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024,Food,40
FDV39,11,Low Fat,0.007294652,Meat,198,OUT045,2002,Medium,Tier 2,Supermarket Type1,988,Food,23
NCO17,12,Low Fat,0.128478462,Health and Hygiene,117,OUT019,1985,Small,Tier 1,Grocery Store,239,Non-Consumable,40
FDU50,5,Regular,0.075107656,Dairy,112,OUT013,1987,High,Tier 3,Supermarket Type1,1374,Food,38
FDT12,12,Regular,0.049381406,Baking Goods,226,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739,Food,40
FDK58,11,Regular,0.045165796,Snack Foods,100,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012,Food,16
FDO08,12,Regular,0.09415375,Fruits and Vegetables,165,OUT019,1985,Small,Tier 1,Grocery Store,657,Food,40
NCW29,14,Low Fat,0.028907832,Health and Hygiene,130,OUT049,1999,Medium,Tier 1,Supermarket Type1,778,Non-Consumable,26
FDE04,19,Regular,0.018059621,Frozen Foods,179,OUT045,2002,Medium,Tier 2,Supermarket Type1,2336,Food,23
NCB19,6,Low Fat,0.090436094,Household,85,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233,Non-Consumable,26
FDV15,10,Low Fat,0.146399712,Meat,103,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661,Food,26
FDL58,5,Regular,0.074264356,Snack Foods,264,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745,Food,26
FDA08,11,Regular,0.050186726,Fruits and Vegetables,164,OUT045,2002,Medium,Tier 2,Supermarket Type1,3124,Food,23
FDT43,16,Low Fat,0.020631654,Fruits and Vegetables,50,OUT018,2009,Medium,Tier 3,Supermarket Type2,467,Food,16
NCX06,12,Low Fat,0.01561108,Household,182,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070,Non-Consumable,40
FDT20,10,Low Fat,0.041395445,Fruits and Vegetables,37,OUT046,1997,Small,Tier 1,Supermarket Type1,540,Food,28
FDB41,19,Regular,0.097313129,Frozen Foods,48,OUT046,1997,Small,Tier 1,Supermarket Type1,992,Food,28
NCN55,14,Low Fat,0.059582996,Others,238,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008,Non-Consumable,26
FDE40,12,Regular,0.098663652,Dairy,62,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105,Food,40
FDX49,12,Regular,0.101338651,Canned,232,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359,Food,40
NCM53,18,Low Fat,0.052146456,Health and Hygiene,104,OUT045,2002,Medium,Tier 2,Supermarket Type1,745,Non-Consumable,23
FDE36,5,Regular,0.041764487,Baking Goods,161,OUT035,2004,Small,Tier 2,Supermarket Type1,3275,Food,21
FDN57,18,Low Fat,0.054344186,Snack Foods,140,OUT045,2002,Medium,Tier 2,Supermarket Type1,1701,Food,23
FDI24,12,Low Fat,0.078362484,Baking Goods,177,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704,Food,40
FDI19,15,Low Fat,0.052339069,Meat,242,OUT046,1997,Small,Tier 1,Supermarket Type1,4119,Food,28
FDF24,15,Regular,0.042464962,Baking Goods,81,OUT010,1998,Medium,Tier 3,Grocery Store,327,Food,27
FDG52,13,Low Fat,0.065732883,Frozen Foods,45,OUT049,1999,Medium,Tier 1,Supermarket Type1,780,Food,26
DRF36,16,Low Fat,0.023625114,Soft Drinks,189,OUT045,2002,Medium,Tier 2,Supermarket Type1,3630,Drinks,23
FDS45,12,Regular,0.051643608,Snack Foods,107,OUT019,1985,Small,Tier 1,Grocery Store,317,Food,40
FDX40,12,Low Fat,0.165694219,Frozen Foods,39,OUT010,1998,Medium,Tier 3,Grocery Store,231,Food,27
DRK12,9,Low Fat,0.041878397,Soft Drinks,32,OUT035,2004,Small,Tier 2,Supermarket Type1,133,Drinks,21
DRC27,13,Low Fat,0.058091482,Dairy,245,OUT035,2004,Small,Tier 2,Supermarket Type1,5650,Drinks,21
FDL58,5,Regular,0.06613202877895108,Snack Foods,263,OUT017,2007,Medium,Tier 2,Supermarket Type1,2636,Food,18
NCD30,19,Low Fat,0.026903714,Household,96,OUT045,2002,Medium,Tier 2,Supermarket Type1,1272,Non-Consumable,23
NCZ54,14,Low Fat,0.06613202877895108,Household,161,OUT010,1998,Medium,Tier 3,Grocery Store,324,Non-Consumable,27
FDE10,6,Regular,0.150554711,Snack Foods,130,OUT010,1998,Medium,Tier 3,Grocery Store,131,Food,27
FDR44,6,Regular,0.06613202877895108,Fruits and Vegetables,131,OUT010,1998,Medium,Tier 3,Grocery Store,260,Food,27
FDP28,13,Regular,0.134975628,Frozen Foods,260,OUT010,1998,Medium,Tier 3,Grocery Store,260,Food,27
FDX15,17,Low Fat,0.15616879,Meat,160,OUT013,1987,High,Tier 3,Supermarket Type1,3690,Food,38
FDA39,6,Low Fat,0.06613202877895108,Meat,40,OUT035,2004,Small,Tier 2,Supermarket Type1,1139,Food,21
